left_video,right_video,left_locks,right_locks,lock_diff_on_left,
../User/Stimuli/cam/s1.mp4,../User/Stimuli/cam/o1.mp4,1,1,0,
../User/Stimuli/cam/s2.mp4,../User/Stimuli/cam/o2.mp4,1,1,0,
../User/Stimuli/cam/s3.mp4,../User/Stimuli/cam/o3.mp4,1,2,-1,
../User/Stimuli/cam/s4.mp4,../User/Stimuli/cam/o4.mp4,1,2,-1,
../User/Stimuli/cam/s5.mp4,../User/Stimuli/cam/o5.mp4,1,2,-1,
../User/Stimuli/cam/s6.mp4,../User/Stimuli/cam/o6.mp4,1,3,-2,
../User/Stimuli/cam/s7.mp4,../User/Stimuli/cam/o7.mp4,1,3,-2,
../User/Stimuli/cam/s8.mp4,../User/Stimuli/cam/o8.mp4,1,3,-2,
../User/Stimuli/cam/s1.mp4,../User/Stimuli/cam/o1.mp4,1,3,-2,
../User/Stimuli/cam/s2.mp4,../User/Stimuli/cam/o2.mp4,1,3,-2,
../User/Stimuli/cam/s3.mp4,../User/Stimuli/cam/o3.mp4,1,3,-2,
../User/Stimuli/cam/s4.mp4,../User/Stimuli/cam/o4.mp4,2,1,1,
../User/Stimuli/cam/s5.mp4,../User/Stimuli/cam/o5.mp4,2,1,1,
../User/Stimuli/cam/s6.mp4,../User/Stimuli/cam/o6.mp4,2,1,1,
../User/Stimuli/cam/s7.mp4,../User/Stimuli/cam/o7.mp4,2,2,0,
../User/Stimuli/cam/s8.mp4,../User/Stimuli/cam/o8.mp4,2,2,0,
../User/Stimuli/cam/s1.mp4,../User/Stimuli/cam/o1.mp4,2,3,-1,
../User/Stimuli/cam/s2.mp4,../User/Stimuli/cam/o2.mp4,2,3,-1,
../User/Stimuli/cam/s3.mp4,../User/Stimuli/cam/o3.mp4,2,3,-1,
../User/Stimuli/cam/s4.mp4,../User/Stimuli/cam/o4.mp4,3,1,2,
../User/Stimuli/cam/s5.mp4,../User/Stimuli/cam/o5.mp4,3,1,2,
../User/Stimuli/cam/s6.mp4,../User/Stimuli/cam/o6.mp4,3,1,2,
../User/Stimuli/cam/s7.mp4,../User/Stimuli/cam/o7.mp4,3,1,2,
../User/Stimuli/cam/s8.mp4,../User/Stimuli/cam/o8.mp4,3,1,2,
../User/Stimuli/cam/s1.mp4,../User/Stimuli/cam/o1.mp4,3,1,2,
../User/Stimuli/cam/s2.mp4,../User/Stimuli/cam/o2.mp4,3,2,1,
../User/Stimuli/cam/s3.mp4,../User/Stimuli/cam/o3.mp4,3,2,1,
../User/Stimuli/cam/s4.mp4,../User/Stimuli/cam/o4.mp4,3,2,1,
../User/Stimuli/cam/s5.mp4,../User/Stimuli/cam/o5.mp4,3,3,0,
../User/Stimuli/cam/s6.mp4,../User/Stimuli/cam/o6.mp4,3,3,0,
../User/Stimuli/cam/s7.mp4,../User/Stimuli/cam/o7.mp4,1,1,0,
../User/Stimuli/cam/s8.mp4,../User/Stimuli/cam/o8.mp4,1,1,0,
../User/Stimuli/cam/o1.mp4,../User/Stimuli/cam/s1.mp4,1,2,-1,
../User/Stimuli/cam/o2.mp4,../User/Stimuli/cam/s2.mp4,1,2,-1,
../User/Stimuli/cam/o3.mp4,../User/Stimuli/cam/s3.mp4,1,2,-1,
../User/Stimuli/cam/o4.mp4,../User/Stimuli/cam/s4.mp4,1,3,-2,
../User/Stimuli/cam/o5.mp4,../User/Stimuli/cam/s5.mp4,1,3,-2,
../User/Stimuli/cam/o6.mp4,../User/Stimuli/cam/s6.mp4,1,3,-2,
../User/Stimuli/cam/o7.mp4,../User/Stimuli/cam/s7.mp4,1,3,-2,
../User/Stimuli/cam/o8.mp4,../User/Stimuli/cam/s8.mp4,1,3,-2,
../User/Stimuli/cam/o1.mp4,../User/Stimuli/cam/s1.mp4,1,3,-2,
../User/Stimuli/cam/o2.mp4,../User/Stimuli/cam/s2.mp4,2,1,1,
../User/Stimuli/cam/o3.mp4,../User/Stimuli/cam/s3.mp4,2,1,1,
../User/Stimuli/cam/o4.mp4,../User/Stimuli/cam/s4.mp4,2,1,1,
../User/Stimuli/cam/o5.mp4,../User/Stimuli/cam/s5.mp4,2,2,0,
../User/Stimuli/cam/o6.mp4,../User/Stimuli/cam/s6.mp4,2,2,0,
../User/Stimuli/cam/o7.mp4,../User/Stimuli/cam/s7.mp4,2,3,-1,
../User/Stimuli/cam/o8.mp4,../User/Stimuli/cam/s8.mp4,2,3,-1,
../User/Stimuli/cam/o1.mp4,../User/Stimuli/cam/s1.mp4,2,3,-1,
../User/Stimuli/cam/o2.mp4,../User/Stimuli/cam/s2.mp4,3,1,2,
../User/Stimuli/cam/o3.mp4,../User/Stimuli/cam/s3.mp4,3,1,2,
../User/Stimuli/cam/o4.mp4,../User/Stimuli/cam/s4.mp4,3,1,2,
../User/Stimuli/cam/o5.mp4,../User/Stimuli/cam/s5.mp4,3,1,2,
../User/Stimuli/cam/o6.mp4,../User/Stimuli/cam/s6.mp4,3,1,2,
../User/Stimuli/cam/o7.mp4,../User/Stimuli/cam/s7.mp4,3,1,2,
../User/Stimuli/cam/o8.mp4,../User/Stimuli/cam/s8.mp4,3,2,1,
../User/Stimuli/cam/o1.mp4,../User/Stimuli/cam/s1.mp4,3,2,1,
../User/Stimuli/cam/o2.mp4,../User/Stimuli/cam/s2.mp4,3,2,1,
../User/Stimuli/cam/o3.mp4,../User/Stimuli/cam/s3.mp4,3,3,0,
../User/Stimuli/cam/o4.mp4,../User/Stimuli/cam/s4.mp4,3,3,0,
,,,,,
