item_name,text,Type,Answers,Optional,Values,
Title,<b>Daily Stress Inventory</b>,instruct,,,,
Intro,"Below are listed a variety of events that may be viewed as stressful or unpleasant. Please read each item carefully and decide whether or not that event occurred within the past <i><u>24 hours</u></i>, and if the event did occur, indicate the amount of stress that it caused you. Please answer as honestly as you can.",instruct,,,,
DSI1,1. Performed poorly at a task,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI2,2. Performed poorly due to others,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI3,3. Thought about unfinished work,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI4,4. Hurried to meet deadline,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI5,5. Interrupted during task/activity,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI6,6. Someone spoiled your completed task,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI7,7. Did something you are unskilled at,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI8,8. Unable to complete a task,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI9,9. Was unorganised,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI10,10. Criticised or verbally attacked,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI11,11. Ignored by others,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI12,12. Spoke or performed in public,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI13,13. Dealt with rude patient/relative of patient/staff member,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI14,14. Interrupted while talking,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI15,15. Was forced to socialise,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI16,16. Someone broke a promise/appointment,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI17,17. Competed with anyone,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI18,18. Was stared at,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
DSI19,19. Did not hear from someone you expected to hear from,radio,Did not occur|Occurred but was not stressful|Caused very little stress|Caused a little stress|Caused some stress|Caused much stress|Caused very much stress|Caused me to panic,Yes,1|2|3|4|5|6|7|8,
