item_name,text,Type,Answers,Optional,Values,side_by_side,btn_width,
Instruction,Please tell us a little about yourself.,,,,,,200px,
Country,What is your country of residence?,Text,,No,,,,
Ethnicity,"If you would like to, please state your ethnicity",Text,,Yes,,,,
Religion,What is your faith or religion?,Text,,Yes,,,,
Sex,Sex,likert,Male|Female|Other,No,,yes,200px,
Gender,Please self identify your gender:,Text,Male|Female|Other,No,,yes,200px,
Age,Age,Number,,No,,,,
Occupation,What is your professional occupation,Dropdown,Medical Student| Junior Doctor| Qualified Doctor| Retired Doctor| Other,No,,,,
NHS,Are you currently in employment within the NHS,likert,Yes|No,No,,yes,200px,
FT/PT,I work,likert,Full-time|Part-time,No,,yes,200px,
,,,,,,,,
