item_name,text,Type,Answers,Optional,btn_width,
Title,<b>Hydration Status</b>,instruct,,,,
Intro,Please refer to your study pack sample analysis guidance to complete this section.,instruct,,,,
HS1,<span style='color:#1a1919'>Question 1. Please report the length of your shift (in hours):</span>,text,number,Yes,,
HS2,"Question 2. Urine colour: When you compared your urine sample to the 8-level colour chart (NHS, 2017), what number did you record?",likert,1|2|3|4|5|6|7|8|9,Yes,100px,
HS3,"Question 3. Once you have tested your reagent strip, and compared it to the coded chart, please record your result for each of the following:",instruct,,,,
HS3a,a. Specific Gravity,likert,1|2|3|4|5|6|7,Yes,100px,
HS3b,b. pH,likert,1|2|3|4|5|6|7,Yes,100px,
HS3c,c. Leukoytes,likert,1|2|3|4|5|6|7,Yes,100px,
HS3d,d. Nitrate,likert,1|2|3|4|5|6|7,Yes,100px,
HS3e,e. Ketones,likert,1|2|3|4|5|6|7,Yes,100px,
HS4,Question 4. Please complete the log for each type of fluid consumed over the duration of your shift (see study pack guidance):,instruct,,,,
HS4a1,"If applicable, please specify 'Fluid Type 1':",text,Text,Yes,100px,
HS4b1,Number of cups (based on a 200ml average size):,text,number,Yes,100px,
HS4c1,"Caffeinated ",likert,yes|no,Yes,100px,
HS4d1,"Carbonated ",likert,yes|no,Yes,100px,
HS4e1,"Contained milk (dairy) ",likert,yes|no,Yes,100px,
HS4a2,"If applicable, please specify 'Fluid Type 2':",text,Text,Yes,100px,
HS4b2,Number of cups (based on a 200ml average size):,text,number,Yes,100px,
HS4c2,"Caffeinated ",likert,yes|no,Yes,100px,
HS4d2,"Carbonated ",likert,yes|no,Yes,100px,
HS4e2,"Contained milk (dairy) ",likert,yes|no,Yes,100px,
HS4a3,"If applicable, please specify 'Fluid Type 3':",text,Text,Yes,100px,
HS4b3,Number of cups (based on a 200ml average size):,text,number,Yes,100px,
HS4c3,"Caffeinated ",likert,yes|no,Yes,100px,
HS4d3,"Carbonated ",likert,yes|no,Yes,100px,
HS4e3,"Contained milk (dairy) ",likert,yes|no,Yes,100px,
HS4a4,"If applicable, please specify 'Fluid Type 4':",text,Text,Yes,100px,
HS4b4,Number of cups (based on a 200ml average size):,text,number,Yes,100px,
HS4c4,"Caffeinated ",likert,yes|no,Yes,100px,
HS4d4,"Carbonated ",likert,yes|no,Yes,100px,
HS4e4,"Contained milk (dairy) ",likert,yes|no,Yes,100px,
,,,,,,
