item_name,text,Type,Answers,Values,Score: SCAARED_Anxiety_Disorder,Score: Panic_somatic,Score: Generalised Anxiety Disorder,Score: Separation Anxiety Disorder,Score: Social Phobia,Optional,
Instructions1,"Below is a list of sentences that describe how people feel. Read each phrase and decide if it is 'Not True or Hardly Ever
True' or 'Somewhat True or Sometimes True' or 'Very True or Often True' for you. Then, for each sentence, choose
the box that corresponds to the response that seems to describe you now or within the past 3 months",Instruct,,,,,,,,,
SCAARED1,"When I feel nervous, it is hard for me to breathe.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,1,,,,No,
SCAARED2,"I get headaches when I am at school, at work or in public places.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,1,,,,No,
SCAARED3,I don't like to be with people I don't know well.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,,,,1,No,
SCAARED4,I get nervous if I sleep away from home.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,,,1,,No,
SCAARED5,I worry about people liking me.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,,1,,,No,
SCAARED6,"When I get anxious, I feel like passing out.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,1,,,,No,
SCAARED7,I am nervous.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,,1,,,No,
SCAARED8,It is hard for me to stop worrying.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,,1,,,No,
SCAARED9,People tell me that I look nervous.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,1,,,,No,
SCAARED10,I feel nervous with people I don't know well.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,,,,1,No,
SCAARED11,"I get stomachaches at school, at work, or in public places.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,1,,,,No,
SCAARED12,"When I get anxious, I feel like I'm going crazy.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,1,,,,No,
SCAARED13,I worry about sleeping alone.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,,,1,,No,
SCAARED14,I worry about being as good as other people.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True| Very True or Often True,0|1|2,1,,1,,,No,
