item_name,text,Type,Answers,Optional,Values,
title,Consent Form: Please select 'Yes' after each statement to confirm it has been read and agreed to.</b>,,,,,
C1,"I was offered a telephone briefing by the researchers, and I have read the accompanying Information Sheet relating to the project on doctor hydration, well-being and competence.",likert,Yes | No,no,,
C2,"I have had explained to me the purposes of the project and what will be required of me, and any questions I have had have been answered to my satisfaction. I agree to the arrangements described in the Information Sheet in so far as they relate to my participation.",likert,Yes | No,no,,
C3,"I have had explained to me what information will be collected about me, what it will be used for, who it may be shared with, how it will be kept safe, and my rights in relation to my data.",likert,Yes | No,no,,
C4,"I understand that participation is entirely voluntary and that I have the right to withdraw from the project any time, and that this will be without detriment.",likert,Yes | No,no,,
C5,"I understand that the data collected from me in this study will be preserved and made available in anonymised form, so that they can be consulted and re-used by others.",likert,Yes | No,no,,
C6,"If any concerns about my physical or psychological safety during the course of this study, I will be contacted initially. If there are further concerns about my safety following that contact regarding my ability to source appropriate support or self-management, I authorise the investigator to consult my General Practitioner in order to identify further support for me.",likert,Yes | No,no,,
C7,"I understand that this project has been reviewed by the University of Reading Research Ethics Committee, and has been given a favourable ethical opinion for conduct.",likert,Yes | No,no,,
C8,"I have been provided contact details for the researchers and understand I may contact them if I have any concerns, or require further information.",likert,Yes | No,no,,
C9,I understand that my anonymous survey responses may be used for publication and made available to other researchers for verification or further analysis after the study is completed.,likert,Yes | No,no,,
C10,Please input your initials in place of a signature,Text,,no,,
C11,Participant ID,Text,,no,,
C12,Today's date (DD/MM/YY),Text,,no,,
C13,Date of birth (DD/MM/YY),Text,,no,,
,,,,,,
