item_name,text,Type,Answers,Values,Score: AQ_Test,Score: Compassion Satisfaction Scale,Score: Burnout Scale,Score: Secondary Traumatic Stress Scale,Optional,btn_width,
Instructions1,"<span style='color:#006699'><span style='font-size:20px'>As a doctor; when you help people you have direct contact with their lives. As you may have found, your
compassion for those you help can affect you in positive and negative ways. Below are some questions
about your experiences, both positive and negative. Consider each of the following
questions about you and your current work situation. Select the number that honestly reflects how
frequently you experienced these things in the last 30 days. :</span></span>",Instruct,,,,,,,,,
ProQ1,I am happy,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,r1,,r1,,No,100px,
ProQ2,I am preoccupied with more than patient I help,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,,,,1,No,100px,
ProQ3,I get satisfaction from being able to help patients,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,1,,,No,100px,
ProQ4,I feel connected to others,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,r1,,r1,,No,100px,
ProQ5,I jump or am startled by unexpected sounds,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,,,,1,No,100px,
ProQ6,I feel invigorated after working with patients,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,1,,,No,100px,
ProQ7,I find it difficult to separate my personal life from my life as a doctor,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,,,1,No,100px,
ProQ8,I am not as productive at work because I am losing sleep over traumatic experiences of a patient,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,,1,,No,100px,
ProQ9,I think that I might have been affected by the traumatic stress of those I help,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,,,1,No,100px,
ProQ10,I feel trapped by my job as a doctor,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,,1,,No,100px,
ProQ11,"Because of my work, I have felt ""on edge"" about various things",likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,,,1,No,100px,
ProQ12,I like my work as a doctor,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,1,,,No,100px,
ProQ13,I feel depressed because of the traumatic experiences of the people I help,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,,,1,No,100px,
ProQ14,I feel as though I am experiencing the trauma of someone I have helped,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,,,1,No,100px,
ProQ15,I have beliefs that sustain me,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,r1,,r1,,No,100px,
ProQ16,I am pleased with how I am able to keep up with professional techniques and protocols,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,1,,,No,100px,
ProQ17,I am the person I always wanted to be,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,r1,,r1,,No,100px,
ProQ18,My work makes me feel satisfied,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,1,,,No,100px,
ProQ19,I feel worn out because of my work as a doctor,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,,1,,No,100px,
ProQ20,"I have happy thoughts and feelings about patients, and how I could help them",likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,1,,,No,100px,
ProQ21,I feel overwhelmed because my workload seems endless,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,,1,,No,100px,
ProQ22,I believe I can make a difference through my work,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,1,,,No,100px,
ProQ23,I avoid certain activities or situations because they remind me of frightening experiences of the patients I help,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,,,1,No,100px,
ProQ24,I am proud of what I can do to [help],likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,1,,,No,100px,
ProQ25,"As a result of my work, I have intrusive, frightening thoughts",likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,,,1,No,100px,
ProQ26,"I feel ""bogged down"" by the system",likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,,1,,No,100px,
ProQ27,"I have thoughts that I am a ""success"" as a doctor",likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,1,,,No,100px,
ProQ28,I can't recall important parts of my work with trauma victims,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,,,1,No,100px,
ProQ29,I am a very caring person,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,r1,,r1,,No,100px,
ProQ30,I am happy that I chose to do this work,likert,Never|Rarely|Sometimes|Often|Very Often,1|2|3|4|5,1,1,,,,100px,
,,,,,,,,,,,
