cue,answer,time_limit,row_1_tens,row_1_units,row_2_tens,row_2_units,add_sub_mult,answer_1,answer_2,answer_3,answer_4,answer_5,
A,Apple,10000,8,8,2,5,x,40,160,400,1600,2200,
B,Banana,10000,3,8,5,8,x,64,400,240,1500,2204,
,,,5,8,2,8,x,64,160,400,1000,1624,
,,,3,3,6,7,x,21,180,210,1800,2211,
,,,3,1,6,3,x,3,60,90,1800,1953,
,,,8,2,2,3,x,6,40,240,1600,1886,
,,,4,9,7,2,x,18,630,80,2800,3528,
,,,7,9,5,2,x,18,450,140,3500,4108,
,,,4,8,8,5,x,40,640,200,3200,4080,
,,,8,3,5,1,x,3,150,80,4000,4233,
,,,6,9,3,1,x,9,270,60,1800,2139,
,,,9,8,6,1,x,8,480,90,5400,5978,
,,,1,2,8,4,x,8,160,40,800,1008,
,,,4,9,7,4,x,36,630,160,2800,3626,
,,,7,4,8,5,x,20,320,350,5600,6290,
,,,4,7,8,6,x,42,560,240,3200,4042,
,,,7,2,5,1,x,2,100,70,3500,3672,
,,,6,9,1,7,x,63,90,420,600,1173,
,,,5,7,3,2,x,14,210,100,1500,1824,
,,,3,8,6,8,x,64,480,240,1800,2584,
,,,6,3,3,3,x,9,90,180,1800,2079,
,,,5,2,2,9,x,18,40,450,1000,1508,
,,,4,8,5,5,x,40,400,200,2000,2640,
,,,1,1,5,5,x,5,50,50,500,605,
,,,7,3,8,3,x,9,240,210,5600,6059,
,,,3,2,1,7,x,14,20,210,300,544,
,,,5,2,3,6,x,12,60,300,1500,1872,
,,,6,3,6,1,x,3,180,60,3600,3843,
,,,3,8,6,9,x,72,480,270,1800,2622,
,,,5,3,7,7,x,21,210,350,3500,4081,
,,,,,,,,,,,,,
