item_name,text,Type,Answers,Values,Score: dep_soc_stigma,Optional,btn_width,
Instructions1,<span style='font-size:26px'><span style='color:#3f78d5'>These questions contain statements about depression. Please indicate how strongly you personally agree or disagree with each statement.</span></span>,Instruct,,,,,,
DSSQ1,People with depression could snap out of it if they wanted.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ2,Depression is a sign of personal weakness.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ3,Depression is not a real medical illness.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ4,People with depression are dangerous.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ5,It is best to avoid people with depression so you don’t become depressed yourself.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ6,People with depression are unpredictable.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ7,If I had depression I would not tell anyone.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ8,I would not employ someone if I knew they had been depressed.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
DSSQ9,I would not vote for a politician if I knew they had been depressed.,likert,Strongly disagree|Disagree|Neither agree or disagree|Agree| Strongly agree,0|1|2|3|4,1,No,100px,
,,,,,,,,
