item_name,text,Type,Answers,Values,Score: PANAS_tot,Score: pos_aff,Score: neg_aff,Optional,btn_width,
Instructions1,<span style='color:#006699'><span style='font-size:20px'>Choose one response that best describes how strongly each item applies to you:</span></span>,Instruct,,,,,,,,
PANAS1,Interested during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,1,1,,No,100px,
PANAS2,Distressed during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,r1,,r1,No,100px,
PANAS3,Excited during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,1,1,,No,100px,
PANAS4,Upset during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,r1,,r1,No,100px,
PANAS5,Strong during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,1,1,,No,100px,
PANAS6,Guilty during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,r1,,r1,No,100px,
PANAS7,Scared during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,r1,,r1,No,100px,
PANAS8,Hostile during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,r1,,r1,No,100px,
PANAS9,Enthusiastic during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,1,1,,No,100px,
PANAS10,Proud during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,1,1,,No,100px,
PANAS11,Irritable during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,r1,,r1,No,100px,
PANAS12,Alert during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,1,1,,No,100px,
PANAS13,Ashamed during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,r1,,r1,No,100px,
PANAS14,Inspired during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,1,1,,No,100px,
PANAS15,Nervous during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,r1,,r1,No,100px,
PANAS16,Determined during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,1,1,,No,100px,
PANAS17,Attentive during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,1,1,,No,100px,
PANAS18,Jittery during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,r1,,r1,No,100px,
PANAS19,Active during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,1,1,,No,100px,
PANAS20,Afraid during the first month of lockdown,likert,Very slightly or not at all|A little|Moderately|Quite abit| Extremely,1|2|3|4|5,r1,,r1,No,100px,
,,,,,,,,,,
