item_name,text,Type,Answers,Values,Score: bfi_extraversion,Score: bfi_agreeableness,Score: bfi_conscientiousness,Score: bfi_neuroticism,Score: bfi_openess,Optional,btn_width,
Instructions1,"Here are a number of characteristics that may or may not apply to you. For example, do you agree
that you are someone who likes to spend time with others? Please indicate the extent to which you agree or disagree with that statement. <br><br>I see myself as someone who...",instruct,,,,,,,,,,
bfi_1,Is talkative,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,1,,,,,No,100px,
bfi_2,Tends to find fault with others,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,r1,,,,No,100px,
bfi_3,Does a thorough job,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,1,,,No,100px,
bfi_4,"Is depressed, blue",likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,1,,No,100px,
bfi_5,"Is original, comes up with new ideas",likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,,1,No,100px,
bfi_6,Is reserved,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,r1,,,,,No,100px,
bfi_7,Is helpful and unselfish with others,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,1,,,,No,100px,
bfi_8,Can be somewhat careless,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,r1,,,No,100px,
bfi_9,"Is relaxed, handles stress well",likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,r1,,No,100px,
bfi_10,Is curious about many different things,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,,1,No,100px,
bfi_11,Is full of energy,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,1,,,,,No,100px,
bfi_12,Starts quarrels with others,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,r1,,,,No,100px,
bfi_13,Is a reliable worker,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,1,,,No,100px,
bfi_14,Can be tense,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,1,,No,100px,
bfi_15,"Is ingenious, a deep thinker",likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,,1,No,100px,
bfi_16,Generates a lot of enthusiasm,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,1,,,,,No,100px,
bfi_17,Has a forgiving nature,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,1,,,,No,100px,
bfi_18,Tends to be disorganized,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,r1,,,No,100px,
bfi_19,Worries a lot,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,1,,No,100px,
bfi_20,Has an active imagination,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,,1,No,100px,
bfi_21,Tends to be quiet,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,r1,,,,,No,100px,
bfi_22,Is generally trusting,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,1,,,,No,100px,
bfi_23,Tends to be lazy,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,r1,,,No,100px,
bfi_24,"Is emotionally stable, not easily upset",likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,r1,,No,100px,
bfi_25,Is inventive,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,,1,No,100px,
bfi_26,Has an assertive personality,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,1,,,,,No,100px,
bfi_27,Can be cold and aloof,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,r1,,,,No,100px,
bfi_28,Perseveres until the task is finished,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,1,,,No,100px,
bfi_29,Can be moody,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,1,,No,100px,
bfi_30,"Values artistic, aesthetic experiences",likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,,1,No,100px,
bfi_31,"Is sometimes shy, inhibited",likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,r1,,,,,No,100px,
bfi_32,Is considerate and kind to almost everyone,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,1,,,,No,100px,
bfi_33,Does things efficiently,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,1,,,No,100px,
bfi_34,Remains calm in tense situations,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,r1,,No,100px,
bfi_35,Prefers work that is routine,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,,r1,No,100px,
bfi_36,"Is outgoing, sociable",likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,1,,,,,No,100px,
bfi_37,Is sometimes rude to others,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,r1,,,,No,100px,
bfi_38,Makes plans and follows through with them,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,1,,,No,100px,
bfi_39,Gets nervous easily,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,1,,No,100px,
bfi_40,"Likes to reflect, play with ideas",likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,,1,No,100px,
bfi_41,Has few artistic interests,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,,r1,No,100px,
bfi_42,Likes to cooperate with others,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,1,,,,No,100px,
bfi_43,Is easily distracted,likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,r1,,,No,100px,
bfi_44,"Is sophisticated in art, music, or literature",likert,Disagree Strongly|Disagree a little|Neither agree nor disagree|Agree a little|Agree strongly,1|2|3|4|5,,,,,1,No,100px,
,,,,,,,,,,,,
