item_name,text,Type,Answers,Values,Score: LSAS_total_Fear,Score: Performance_Anxiety,Score: Social_Anxiety,Score: LSAS_Avoidance,Score: Performance_Avoidance,Score: Social_Avoidance,Optional,
Instructions1,"Choose one response that best describes how strongly each item applies to you: <br>For each sentence given below please choose: how much do you generally fear or feel anxious facing these using score 0= None to 3= Severe, and how much would you generally avoid them using score 0=Never to 3 = Usually.",instruct,,,,,,,,,,
LSAS1,Telephoning in public.,instruct,,,,,,,,,,
LSAS1_feel,How much do you generally fear or feel anxious facing this:,likert,None| Mild| Moderate| Severe,0|1|2|3,1,1,,,,,No,
LSAS1_avoid,How much would you generally avoid this:,likert,Never| Occasionally (1-33%)| Often (33-67%)| Usually (67-100%),0|1|2|3,,,,1,1,,No,
LSAS2,Participating in small groups.,instruct,,,,,,,,,No,
LSAS2_feel,How much do you generally fear or feel anxious facing this:,likert,None| Mild| Moderate| Severe,0|1|2|3,1,1,,,,,No,
LSAS2_avoid,How much would you generally avoid this:,likert,Never| Occasionally (1-33%)| Often (33-67%)| Usually (67-100%),0|1|2|3,,,,1,1,,No,
LSAS3,Eating in public places.,instruct,,,,,,,,,No,
LSAS3_feel,How much do you generally fear or feel anxious facing this:,likert,None| Mild| Moderate| Severe,0|1|2|3,1,1,,,,,No,
LSAS3_avoid,How much would you generally avoid this:,likert,Never| Occasionally (1-33%)| Often (33-67%)| Usually (67-100%),0|1|2|3,,,,1,1,,No,
LSAS4,Drinking with others in public places.,instruct,,,,,,,,,No,
LSAS4_feel,How much do you generally fear or feel anxious facing this:,likert,None| Mild| Moderate| Severe,0|1|2|3,1,,1,,,,No,
LSAS4_avoid,How much would you generally avoid this:,likert,Never| Occasionally (1-33%)| Often (33-67%)| Usually (67-100%),0|1|2|3,,,,1,1,,No,
LSAS5,Talking to people in authority.,instruct,,,,,,,,,No,
LSAS5_feel,How much do you generally fear or feel anxious facing this:,likert,None| Mild| Moderate| Severe,0|1|2|3,1,,1,,,,No,
